id,pwid
0,BIOCARTA_GRANULOCYTES_PATHWAY
1,BIOCARTA_LYM_PATHWAY
2,BIOCARTA_BLYMPHOCYTE_PATHWAY
3,BIOCARTA_CARM_ER_PATHWAY
4,BIOCARTA_LAIR_PATHWAY
5,BIOCARTA_VDR_PATHWAY
6,BIOCARTA_MTA3_PATHWAY
7,BIOCARTA_GABA_PATHWAY
8,BIOCARTA_EGFR_SMRTE_PATHWAY
9,BIOCARTA_MONOCYTE_PATHWAY
10,BIOCARTA_RARRXR_PATHWAY
11,BIOCARTA_NUCLEARRS_PATHWAY
12,BIOCARTA_RANMS_PATHWAY
13,BIOCARTA_TEL_PATHWAY
14,BIOCARTA_SARS_PATHWAY
15,BIOCARTA_PDZS_PATHWAY
16,BIOCARTA_RACC_PATHWAY
17,BIOCARTA_EICOSANOID_PATHWAY
18,BIOCARTA_CHREBP_PATHWAY
19,BIOCARTA_LIS1_PATHWAY
20,BIOCARTA_HSWI_SNF_PATHWAY
21,BIOCARTA_PCAF_PATHWAY
22,BIOCARTA_LYMPHOCYTE_PATHWAY
23,BIOCARTA_AMAN_PATHWAY
24,BIOCARTA_NEUTROPHIL_PATHWAY
25,BIOCARTA_EFP_PATHWAY
26,BIOCARTA_CREM_PATHWAY
27,BIOCARTA_ERAD_PATHWAY
28,BIOCARTA_BTG2_PATHWAY
29,BIOCARTA_TERT_PATHWAY
30,BIOCARTA_GHRELIN_PATHWAY
31,BIOCARTA_VOBESITY_PATHWAY
32,BIOCARTA_ERBB3_PATHWAY
33,BIOCARTA_CTBP1_PATHWAY
34,BIOCARTA_PRION_PATHWAY
35,BIOCARTA_PLK3_PATHWAY
36,BIOCARTA_FXR_PATHWAY
37,BIOCARTA_MHC_PATHWAY
38,BIOCARTA_ACETAMINOPHEN_PATHWAY
39,BIOCARTA_PRC2_PATHWAY
40,BIOCARTA_SM_PATHWAY
41,BIOCARTA_RANBP2_PATHWAY
42,BIOCARTA_IRES_PATHWAY
43,BIOCARTA_PLC_PATHWAY
44,BIOCARTA_BBCELL_PATHWAY
45,BIOCARTA_CDC25_PATHWAY
46,BIOCARTA_DSP_PATHWAY
47,BIOCARTA_NPC_PATHWAY
48,BIOCARTA_FLUMAZENIL_PATHWAY
49,BIOCARTA_MELANOCYTE_PATHWAY
50,BIOCARTA_S1P_PATHWAY
51,BIOCARTA_HBX_PATHWAY
52,BIOCARTA_MALATEX_PATHWAY
53,BIOCARTA_TSP1_PATHWAY
54,BIOCARTA_NPP1_PATHWAY
55,BIOCARTA_CPSF_PATHWAY
56,BIOCARTA_HES_PATHWAY
57,BIOCARTA_ERBB4_PATHWAY
58,BIOCARTA_RHODOPSIN_PATHWAY
59,BIOCARTA_RNAPOL3_PATHWAY
60,BIOCARTA_TERC_PATHWAY
61,BIOCARTA_EOSINOPHILS_PATHWAY
62,BIOCARTA_REELIN_PATHWAY
63,BIOCARTA_BARD1_PATHWAY
64,BIOCARTA_LDL_PATHWAY
65,BIOCARTA_SAM68_PATHWAY
66,BIOCARTA_FBW7_PATHWAY
67,BIOCARTA_CB1R_PATHWAY
68,BIOCARTA_SUMO_PATHWAY
69,BIOCARTA_IFNA_PATHWAY
70,BIOCARTA_PKC_PATHWAY
71,BIOCARTA_PPARG_PATHWAY
72,BIOCARTA_ION_PATHWAY
73,BIOCARTA_PELP1_PATHWAY
74,BIOCARTA_STAT3_PATHWAY
75,BIOCARTA_EEA1_PATHWAY
76,BIOCARTA_MITR_PATHWAY
77,BIOCARTA_CIRCADIAN_PATHWAY
78,BIOCARTA_RECK_PATHWAY
79,BIOCARTA_MSP_PATHWAY
80,BIOCARTA_SLRP_PATHWAY
81,BIOCARTA_ALTERNATIVE_PATHWAY
82,BIOCARTA_FOSB_PATHWAY
83,BIOCARTA_NOTCH_PATHWAY
84,BIOCARTA_TUBBY_PATHWAY
85,BIOCARTA_MRP_PATHWAY
86,BIOCARTA_DICER_PATHWAY
87,BIOCARTA_PLCD_PATHWAY
88,BIOCARTA_RAN_PATHWAY
89,BIOCARTA_WNT_LRP6_PATHWAY
90,BIOCARTA_PEPI_PATHWAY
91,BIOCARTA_IFNG_PATHWAY
92,BIOCARTA_BOTULIN_PATHWAY
93,KEGG_N_GLYCAN_BIOSYNTHESIS
94,KEGG_OTHER_GLYCAN_DEGRADATION
95,KEGG_O_GLYCAN_BIOSYNTHESIS
96,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
97,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE
98,KEGG_GLYCEROLIPID_METABOLISM
99,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS
100,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
101,KEGG_ETHER_LIPID_METABOLISM
102,KEGG_ARACHIDONIC_ACID_METABOLISM
103,KEGG_LINOLEIC_ACID_METABOLISM
104,KEGG_ALPHA_LINOLENIC_ACID_METABOLISM
105,KEGG_SPHINGOLIPID_METABOLISM
106,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES
107,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES
